StructureName,Diameter(km),Age(Ma)*,,
Acraman,90,590,,
AmeliaCreek,20,1640,,
Ames,16,470,,
Amguid,0.45,0.1,,
Aorounga,12.6,345,,
Aouelloul,0.39,3.0,,
Araguainha,40,254.7,,
Avak,12,95,,
B.P.Structure,2,120,,
Barringer,1.19,0.049,,
Beaverhead,60,600,,
Beyenchime-Salaatin,8,40,,
Bigach,8,5,,
Boltysh,24,65.17,,
Bosumtwi,10.5,1.07,,
Boxhole,0.17,0.0054,,
Brent,3.8,453,,
Calvin,8.5,450,,
CampoDelCielo,0.05,0.004,,
Caracas,0.0135,0.000007,,
Carswell,39,115,,
Charlevoix,54,342,,
ChesapeakeBay,40,35.3,,
Chicxulub,150,64.98,,
Chiyli,5.5,46,,
Chukcha,6,70,,
ClearwaterEast,26,460,,
ClearwaterWest,36,290,,
CloudCreek,7,190,,
Colônia,3.6,5,,
ConnollyBasin,9,60,,
Couture,8,430,,
Crawford,8.5,35,,
CrookedCreek,7,320,,
Dalgaranga,0.024,0.27,,
Decaturville,6,300,,
DeepBay,13,99,,
Dellen,19,89.0,,
DesPlaines,8,280,,
Dhala,11,1700,,
Dobele,4.5,290,,
EagleButte,10,65,,
El'gygytgyn,18,3.5,,
Elbow,8,395,,
Flaxman,10,35,,
FlynnCreek,3.8,360,,
Foelsche,6,545,,
Gardnos,5,500,,
Glasford,4,430,,
Glikson,19,508,,
GloverBluff,8,500,,
GoatPaddock,5.1,50,,
GossesBluff,22,142.5,,
Gow,5,250,,
Goyder,3,1400,,
Granby,3,470,,
Gusev,3,49.0,,
Gweni-Fada,14,345,,
Haughton,23,39,,
Haviland,0.015,0.001,,
Henbury,0.157,0.0042,,
Holleford,2.35,550,,
IleRouleau,4,300,,
Ilumetsä,0.08,0.0066,,
Ilyinets,8.5,378,,
Iso-Naakkima,3,1000,,
Jänisjärvi,14,700,,
JebelWaqfAsSuwwan,5.5,56,,
Kaalijärv,0.11,0.004,,
Kalkkop,0.64,0.250,,
Kaluga,15,380,,
Kamensk,25,49.0,,
Kamil,0.045,?,,
Kara,65,70.3,,
Kara-Kul,52,5,,
Kärdla,4,455,,
Karikkoselkä,1.5,230,,
Karla,10,5,,
KellyWest,10,550,,
Kentland,13,97,,
Keurusselkä,30,1800,,
Kgagodi,3.5,180,,
Kursk,6,250,,
LaMoinerie,8,400,,
Lappajärvi,23,76.20,,
LawnHill,18,Hill,,
Liverpool,1.6,150,,
Lockne,7.5,458,,
Logancha,20,40,,
Logoisk,15,42.3,,
Lonar,1.83,0.052,,
Luizi,17,573,,
Lumparn,9,1000,,
Macha,0.3,0.007,,
Målingen,1,458,,
Manicouagan,85,214,,
Manson,35,74.1,,
MapleCreek,6,75,,
Marquez,12.7,58,,
MattWilson,7.5,1402,,
Middlesboro,6,300,,
Mien,9,121.0,,
MishinaGora,2.5,300,,
Mistastin,28,36.4,,
Mizarai,5,500,,
Mjølnir,40,142.0,,
Montagnais,45,50.50,,
Monturaqui,0.46,1,,
Morasko,0.1,0.01,,
Morokweng,70,145.0,,
MountToondina,4,110,,
Neugrund,8,535,,
Newporte,3.2,500,,
NewQuebec,3.44,1.4,,
Nicholson,12.5,400,,
Oasis,18,120,,
Obolon',20,169,,
Odessa,0.168,0.0635,,
Ouarkziz,3.5,70,,
Paasselkä,10,1800,,
Piccaninny,7,360,,
Pilot,6,445,,
Popigai,90,35.7,,
Presqu'ile,24,500,,
Puchezh-Katunki,40,167,,
Ragozinka,9,46,,
RedWing,9,200,,
RiachaoRing,4.5,200,,
Ries,24,15.1,,
RioCuarto,4.5,0.1,,
Ritland,2.7,520,,
Rochechouart,23,201,,
RockElm,6,505,,
RoterKamm,2.5,3.7,,
Rotmistrovka,2.7,120,,
Sääksjärvi,6,560,,
Saarijärvi,1.5,600,,
SaintMartin,40,220,,
SantaFe,6,1200,,
SantaMarta,10,100,,
SerpentMound,8,320,,
SerraDaCangalha,12,300,,
Shoemaker(formerlyTeague),30,1630,,
Shunak,2.8,45,,
SierraMadera,13,100,,
SikhoteAlin,0.027,0.000067,,
Siljan,52,376.8,,
SlateIslands,30,450,,
Sobolev,0.053,0.001,,
Söderfjärden,6.6,600,,
Spider,13,570,,
SteenRiver,25,91,,
Steinheim,3.8,15,,
Strangways,25,646,,
Suavjärvi,16,2400,,
Sudbury,130,1850,,
SuvasvesiN,4,1000,,
SuvasvesiS,3.8,250,,
Tabun-Khara-Obo,1.3,150,,
Talemzane,1.75,3,,
Tenoumer,1.9,0.0214,,
Ternovka,11,280,,
TinBider,6,70,,
Tookoonooka,55,128,,
Tswaing(formerlyPretoriaSaltpan),1.13,0.220,,
Tunnunik(PrinceAlbert),25,130,,
Tvären,2,455,,
UpheavalDome,10,170,,
VargeaoDome,12,123,,
Veevers,0.08,1,,
Vepriai,8,160,,
Viewfield,2.5,190,,
VistaAlegre,9.5,65,,
Vredefort,160,2023,,
Wabar,0.116,0.00014,,
Wanapitei,7.5,37.2,,
WellsCreek,12,200,,
WestHawk,2.44,351,,
Wetumpka,6.5,81.0,,
Whitecourt,0.036,0.0011,,
WolfeCreek,0.875,0.3,,
Woodleigh,40,364,,
Xiuyan,1.8,0.05,,
Yarrabubba,30,2000,,
Zapadnaya,3.2,165,,
ZelenyGai,3.5,80,,
Zhamanshin,14,0.9,,